% 1. Titulo: Deteccion de defectos en piezas metalicas 
%
% 2. Fuentes:
%       (a) Creador: Alan Blanco Alamo
%       (b) Creador: Victor Barbero Garcia
@relation deteccionDefectos 
@attribute coordenadasX INTEGER
@attribute coordenadasY INTEGER
@attribute mean INTEGER
@attribute standardDeviation INTEGER
@attribute firstDerivative INTEGER
@attribute secondDerivative INTEGER
@attribute LBP(1) INTEGER
@attribute LBP(2) INTEGER
@attribute LBP(3) INTEGER
@attribute LBP(4) INTEGER
@attribute LBP(5) INTEGER
@attribute LBP(6) INTEGER
@attribute LBP(7) INTEGER
@attribute LBP(8) INTEGER
@attribute LBP(9) INTEGER
@attribute LBP(10) INTEGER
@attribute LBP(11) INTEGER
@attribute LBP(12) INTEGER
@attribute LBP(13) INTEGER
@attribute LBP(14) INTEGER
@attribute LBP(15) INTEGER
@attribute LBP(16) INTEGER
@attribute LBP(17) INTEGER
@attribute LBP(18) INTEGER
@attribute LBP(19) INTEGER
@attribute LBP(20) INTEGER
@attribute LBP(21) INTEGER
@attribute LBP(22) INTEGER
@attribute LBP(23) INTEGER
@attribute LBP(24) INTEGER
@attribute LBP(25) INTEGER
@attribute LBP(26) INTEGER
@attribute LBP(27) INTEGER
@attribute LBP(28) INTEGER
@attribute LBP(29) INTEGER
@attribute LBP(30) INTEGER
@attribute LBP(31) INTEGER
@attribute LBP(32) INTEGER
@attribute LBP(33) INTEGER
@attribute LBP(34) INTEGER
@attribute LBP(35) INTEGER
@attribute LBP(36) INTEGER
@attribute LBP(37) INTEGER
@attribute LBP(38) INTEGER
@attribute LBP(39) INTEGER
@attribute LBP(40) INTEGER
@attribute LBP(41) INTEGER
@attribute LBP(42) INTEGER
@attribute LBP(43) INTEGER
@attribute LBP(44) INTEGER
@attribute LBP(45) INTEGER
@attribute LBP(46) INTEGER
@attribute LBP(47) INTEGER
@attribute LBP(48) INTEGER
@attribute LBP(49) INTEGER
@attribute LBP(50) INTEGER
@attribute LBP(51) INTEGER
@attribute LBP(52) INTEGER
@attribute LBP(53) INTEGER
@attribute LBP(54) INTEGER
@attribute LBP(55) INTEGER
@attribute LBP(56) INTEGER
@attribute LBP(57) INTEGER
@attribute LBP(58) INTEGER
@attribute LBP(59) INTEGER
@ATTRIBUTE class {true, false}
@data
4, 10, 170.578125, 15.829960406911162, 3.984375, 3.203125, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 10.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, false
16, 42, 131.9375, 5.939473356283367, 3.984375, 1.4375, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 11.0, 6.0, 1.0, 0.0, 2.0, 6.0, 0.0, 3.0, 0.0, 0.0, 2.0, 1.0, false
10, 10, 136.3125, 7.28413301292611, 3.984375, 2.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 4.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 7.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, false
22, 42, 119.5, 5.0682837331783235, 3.5625, 1.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 1.0, 0.0, 0.0, 3.0, 3.0, 4.0, 1.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, false
16, 10, 122.5625, 4.775834351189329, 3.984375, 1.828125, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 3.0, 0.0, 3.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 2.0, 6.0, false
28, 42, 107.28125, 4.826582480130221, 0.578125, 1.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 7.0, 4.0, 0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 4.0, 5.0, false
22, 10, 113.53125, 3.622709405610668, 3.984375, 2.015625, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 5.0, 5.0, false
28, 10, 109.765625, 2.596525247205388, 3.984375, 1.90625, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 5.0, 6.0, false
34, 42, 102.40625, 4.057087740917122, 3.984375, 2.3125, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 2.0, 8.0, false
40, 42, 99.984375, 5.0636331679314015, 3.984375, 2.203125, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 3.0, 3.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 3.0, 4.0, false
